ds	trend	cap	yhat_lower	yhat_upper	trend_lower	trend_upper	Anzac Day	Anzac Day_lower	Anzac Day_upper	Auckland Anniversary Day	Auckland Anniversary Day_lower	Auckland Anniversary Day_upper	Boxing Day	Boxing Day_lower	Boxing Day_upper	Christmas Day	Christmas Day_lower	Christmas Day_upper	Day after New Year's Day	Day after New Year's Day_lower	Day after New Year's Day_upper	Easter Monday	Easter Monday_lower	Easter Monday_upper	Good Friday	Good Friday_lower	Good Friday_upper	Labour Day	Labour Day_lower	Labour Day_upper	New Year's Day	New Year's Day_lower	New Year's Day_upper	Queen's Birthday	Queen's Birthday_lower	Queen's Birthday_upper	Waitangi Day	Waitangi Day_lower	Waitangi Day_upper	holidays	holidays_lower	holidays_upper	multiplicative_terms	multiplicative_terms_lower	multiplicative_terms_upper	weekly	weekly_lower	weekly_upper	yearly	yearly_lower	yearly_upper	additive_terms	additive_terms_lower	additive_terms_upper	yhat
2018-07-15	1140.9708623526965	2056.9221894390726	-942.4141557276059	3512.5648683153167	859.5696461175831	1229.8498524864017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01983265612542061	-0.047391434836196365	0.11515714843457506	0.024283082536706198	-0.008190297829965961	0.06223462158327864	-0.0044504264112856014	-0.08156071736093241	0.05292252685129642	0.0	0.0	0.0	1163.599345114862
2018-07-16	1140.9696071109913	2056.9221894390726	-881.0987325955562	3379.330954647944	859.7096715655161	1229.8584368304942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.011515669253346896	-0.07079056597757173	0.035832470424652735	-0.015286403158950915	-0.07205469575619225	0.07243523092863348	0.003770733905604016	-0.0653977293146942	0.06501266385051503	0.0	0.0	0.0	1127.83057848738
2018-07-17	1140.968351868947	2056.9221894390726	-1046.9015467953973	3447.818841180452	859.849718099463	1229.8670211322146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008184719484638564	-0.11356297383367904	0.13087392193557948	-0.0032621347705485285	-0.0776954645705421	0.06969778730386375	0.011446854255187084	-0.04936851958552428	0.0758104961792983	0.0	0.0	0.0	1150.3068577698446
2018-07-18	1140.967096626563	2056.9221894390726	-933.2180715059518	3545.2385062652384	859.9897856724538	1229.875605391561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04676576487250501	-0.044524917521283694	0.09932871211501487	0.028321280521293093	-0.0070924909752217765	0.10217276246967764	0.018444484351211914	-0.040931779042262535	0.08508455917162112	0.0	0.0	0.0	1194.3252955946657
2018-07-19	1140.9658413838401	2056.9221894390726	-1003.0051185462637	3394.011501165658	860.1298742374928	1229.8841896085298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035448105964250645	-0.03370745634850036	0.09618470075731433	0.010797531826378054	-0.022420495225709436	0.07431206988297016	0.024650574137872597	-0.041744870341106834	0.09263960287649108	0.0	0.0	0.0	1181.4109194308048
2018-07-20	1140.9645861407778	2056.9221894390726	-1089.0713233291326	3482.0604713282387	860.2355224500607	1229.8927737831182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.009141710418339638	-0.16211617322112254	0.11738461948427102	-0.039116180920160566	-0.1631004265249122	0.04211701049703262	0.02997447050182093	-0.041910457539292054	0.09832091893140034	0.0	0.0	0.0	1130.534218296698
2018-07-21	1140.9633308973762	2056.9221894390726	-970.98111485558	3505.307656363838	860.1773062666269	1229.9013579153236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028612099699133295	-0.02216383883558504	0.08215608374168412	-0.005737176034802155	-0.025447402714550003	0.025304905868946202	0.034349275733935446	-0.041424188200702934	0.10201770011646637	0.0	0.0	0.0	1173.608687474067
2018-07-22	1140.9620756536358	2056.9221894390726	-1094.1992707969475	3512.556545771692	860.1190914847951	1229.9099420051434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06201563407557707	-0.008619060615115753	0.16589998409869167	0.0242830825367054	-0.008190297829984056	0.062234621583288484	0.03773255153887168	-0.040294484054169064	0.10366536251540318	0.0	0.0	0.0	1211.7195622314825
2018-07-23	1140.9608204095557	2056.9221894390726	-1081.0034830023665	3387.301430211879	860.0608781052488	1229.9185260525737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024819967621637164	-0.07189220911357204	0.15247553736701766	-0.015286403158958878	-0.0720546957561785	0.07243523092873998	0.04010637078059605	-0.03854276145873027	0.1032467854758406	0.0	0.0	0.0	1169.2794310296774
2018-07-24	1140.9595651651366	2056.9221894390726	-1088.2050319877587	3686.1968894803067	860.002666128672	1229.927110057613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03821460222730053	-0.04970891032386878	0.14578202561698464	-0.0032621347705113434	-0.07769546457004352	0.06969778730367507	0.04147673699781188	-0.03620335794429013	0.10156952767073256	0.0	0.0	0.0	1184.560881105356
